295	-0.91
236	-0.83
325	-0.57
133	0.73
205	-0.42
237	-0.84
123	0.84
129	0.78
86	1.0
160	0.34
358	-0.03
141	0.63
15	0.26
107	0.96
284	-0.97
275	-1.0
234	-0.81
265	-1.0
96	0.99
224	-0.69
186	-0.1
279	-0.99
212	-0.53
296	-0.9
243	-0.89
28	0.47
302	-0.85
309	-0.78
143	0.6
327	-0.54
337	-0.39
184	-0.07
111	0.93
301	-0.86
236	-0.83
73	0.96
169	0.19
358	-0.03
8	0.14
87	1.0
258	-0.98
22	0.37
114	0.91
282	-0.98
280	-0.98
52	0.79
202	-0.37
54	0.81
310	-0.77
5	0.09
184	-0.07
144	0.59
77	0.97
329	-0.52
207	-0.45
71	0.95
83	0.99
88	1.0
196	-0.28
319	-0.66
355	-0.09
313	-0.73
65	0.91
10	0.17
230	-0.77
227	-0.73
180	0.0
101	0.98
54	0.81
259	-0.98
60	0.87
244	-0.9
233	-0.8
10	0.17
139	0.66
353	-0.12
267	-1.0
253	-0.96
60	0.87
250	-0.94
109	0.95
354	-0.1
7	0.12
348	-0.21
148	0.53
283	-0.97
294	-0.91
23	0.39
340	-0.34
33	0.54
233	-0.8
2	0.03
89	1.0
352	-0.14
342	-0.31
21	0.36
47	0.73
160	0.34
101	0.98
126	0.81
230	-0.77
234	-0.81
16	0.28
210	-0.5
80	0.98
140	0.64
301	-0.86
244	-0.9
309	-0.78
124	0.83
4	0.07
78	0.98
0	0.0
114	0.91
9	0.16
298	-0.88
347	-0.22
101	0.98
326	-0.56
233	-0.8
236	-0.83
78	0.98
269	-1.0
89	1.0
353	-0.12
0	0.0
309	-0.78
156	0.41
41	0.66
278	-0.99
79	0.98
38	0.62
48	0.74
107	0.96
290	-0.94
355	-0.09
165	0.26
264	-0.99
353	-0.12
305	-0.82
303	-0.84
261	-0.99
21	0.36
272	-1.0
125	0.82
348	-0.21
256	-0.97
242	-0.88
21	0.36
305	-0.82
178	0.03
254	-0.96
81	0.99
94	1.0
6	0.1
53	0.8
329	-0.52
145	0.57
24	0.41
85	1.0
322	-0.62
280	-0.98
356	-0.07
68	0.93
89	1.0
194	-0.24
270	-1.0
8	0.14
124	0.83
134	0.72
321	-0.63
156	0.41
